name,path,channels,sample_width,frame_rate,nframes,duration,size
Lion_1.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,2,22050,99296,4.503219954648526,4096
Lion_10.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,2,11025,75964,6.89015873015873,4096
Lion_11.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,22000,31744,1.442909090909091,4096
Lion_12.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,2,11025,87108,7.900952380952381,4096
Lion_13.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11025,93972,8.523537414965986,4096
Lion_14.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11025,10857,0.9847619047619047,4096
Lion_15.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11025,93972,8.523537414965986,4096
Lion_16.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11025,11520,1.0448979591836736,4096
Lion_17.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11025,10021,0.9089342403628118,4096
Lion_18.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,2,22050,59130,2.6816326530612247,4096
Lion_19.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,22254,48128,2.162667385638537,4096
Lion_2.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,2,11025,48487,4.397913832199547,4096
Lion_20.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,2,11025,87108,7.900952380952381,4096
Lion_21.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,22050,124671,5.654013605442177,4096
Lion_22.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11025,22528,2.043356009070295,4096
Lion_23.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,1,11025,35712,3.239183673469388,4096
Lion_24.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11025,28946,2.6254875283446713,4096
Lion_25.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,2,22050,36417,1.65156462585034,4096
Lion_26.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,22050,184486,8.36671201814059,4096
Lion_27.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,22050,41138,1.8656689342403627,4096
Lion_28.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,2,11025,108545,9.845351473922902,4096
Lion_29.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11025,19456,1.7647165532879818,4096
Lion_3.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,2,44100,135692,3.0769160997732428,4096
Lion_30.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11127,10849,0.9750157275096611,4096
Lion_31.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,1,11025,19584,1.7763265306122449,4096
Lion_32.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11025,13798,1.2515192743764172,4096
Lion_33.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,8000,13332,1.6665,4096
Lion_34.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11025,13798,1.2515192743764172,4096
Lion_35.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,11025,50177,4.551201814058957,4096
Lion_36.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,2,48000,252928,5.269333333333333,4096
Lion_37.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,2,48000,268288,5.589333333333333,4096
Lion_38.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,2,48000,176128,3.6693333333333333,4096
Lion_39.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,2,48000,219136,4.565333333333333,4096
Lion_4.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,2,11025,12899,1.1699773242630385,4096
Lion_40.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,2,11025,38750,3.5147392290249435,4096
Lion_41.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,2,48000,435200,9.066666666666666,4096
Lion_42.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,2,11025,57513,5.216598639455782,4096
Lion_43.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,1,22050,53150,2.4104308390022675,4096
Lion_44.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,1,2,11025,53992,4.897233560090703,4096
Lion_45.wav,C:/Users/Admin/Desktop/Animal-Soundprepros,2,2,11025,81433,7.386213151927437,4096
